FIXED TIME,CABLE TV,MAGAZINES,NAT SPOT RADIO,NATL NEWSP,NETWORK RADIO,NETWORK TV,NEWSPAPER,OUTDOOR,SPOT TV,SUNDAY MAGS,SYNDICATION,TOTAL,Unnamed: 0,value,onedifvalue,TOTALdiff,valuediff
2013-10-07,54.6,0.0,0.0,0.0,0.0,222.9,0.0,0.0,19.8,0.0,263.2,560.5,3,23457.020431243687,1018.5708427880223,,
2013-10-14,21.3,0.0,0.0,0.0,0.0,117.2,0.0,0.0,9.7,0.0,413.5,561.7,10,17753.545893901904,280.9064450605434,1.2000000000000455,-5703.474537341783
2013-10-21,14.1,0.0,0.0,0.0,0.0,145.8,0.0,0.0,10.3,0.0,279.1,449.3,17,18487.24503141857,-197.77932009196041,-112.40000000000003,733.6991375166654
2013-10-28,3.7,0.0,0.0,0.0,0.0,44.7,0.0,233.0,21.5,0.0,326.1,629.0999999999999,24,17943.18891193404,631.2007123931032,179.7999999999999,-544.0561194845286
2013-11-04,13.0,0.0,0.0,0.0,0.0,175.9,0.0,0.0,15.1,0.0,215.3,419.3,31,17391.512002317824,322.9373498941178,-209.7999999999999,-551.676909616217
2013-11-11,31.9,0.0,0.0,0.0,0.0,194.4,0.0,0.0,13.7,0.0,457.7,697.7,38,21379.87252998108,-972.5113455190003,278.40000000000003,3988.360527663255
2013-11-18,1.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,404.5,45,20361.46351191981,290.1868148310094,-293.20000000000005,-1018.4090180612693
2013-11-25,358.7,387.4,25.0,0.0,5.0,1704.0,207.4,903.2,15.7,0.0,277.2,3883.6,52,30968.836930798792,1405.0499827465374,3479.1,10607.373418878982
2013-12-02,338.6,0.0,174.9,0.0,34.9,988.3,0.0,0.0,16.1,0.0,239.8,1792.6000000000001,59,23117.834698951476,-802.4034295521586,-2091.0,-7851.002231847317
2013-12-09,339.2,378.8,174.9,0.0,34.9,197.5,44.7,0.0,26.4,0.0,191.4,1387.9,66,19565.65744768181,-941.701264703295,-404.70000000000005,-3552.177251269666
2013-12-16,605.4,390.9,174.9,0.0,34.9,816.9,0.0,0.0,43.2,0.0,194.3,2260.5,73,23723.29769530612,1830.5852506324343,872.5999999999999,4157.640247624309
2013-12-23,1082.5,324.4,174.9,0.0,34.9,2449.0,45.4,0.0,6.0,0.0,338.5,4455.599999999999,80,27469.69325692192,-1080.049049567835,2195.0999999999995,3746.395561615802
2013-12-30,977.4000000000001,1103.0,50.0,0.0,10.0,2758.3999999999996,0.0,461.69999999999993,40.2,0.0,450.0,5850.599999999999,87,31401.921946487662,776.5477509491096,1395.0,3932.2286895657417
2014-01-06,49.7,0.0,0.0,0.0,0.0,68.1,0.0,0.0,42.1,0.0,384.6,544.5,94,21505.639627373308,-503.8394609288038,-5306.099999999999,-9896.282319114354
2014-01-13,31.8,192.3,0.0,0.0,0.0,45.3,0.0,0.0,14.4,0.0,292.4,576.2,101,20961.407128538176,-25.635890404072466,31.700000000000045,-544.232498835132
2014-01-20,162.3,0.0,0.0,0.0,0.0,68.1,0.0,0.0,18.2,0.0,312.4,561.0,108,21387.314560981125,-829.1053285341916,-15.200000000000045,425.90743244294936
2014-01-27,31.5,264.5,0.0,0.0,0.0,44.5,0.0,445.20000000000005,14.5,0.0,498.1,1298.3,115,15409.19629078389,-620.1107207376439,737.3,-5978.118270197236
2014-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3,76.3,122,16532.056236572076,436.2640432603922,-1222.0,1122.8599457881865
2014-02-10,0.0,58.4,0.0,160.3,0.0,0.0,157.0,0.0,0.0,0.0,564.4,940.1,129,20318.78147579194,78.81446675370886,863.8000000000001,3786.7252392198643
2014-02-17,0.0,529.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.3,725.0,136,20798.651014644856,671.3875198518116,-215.10000000000002,479.86953885291587
2014-02-24,144.6,2021.0,0.0,0.0,0.0,609.5,0.0,101.0,2.2,0.0,147.1,3025.2000000000003,143,19977.77043228178,-248.32508031010937,2300.2000000000003,-820.8805823630755
2014-03-03,35.9,334.4,0.0,0.0,0.0,157.6,0.0,0.0,12.6,0.0,47.4,587.9,150,16061.989579898122,-1448.15565856067,-2437.3,-3915.7808523836593
2014-03-10,386.8,0.0,0.0,0.0,0.0,109.2,0.0,0.0,12.0,0.0,358.5,866.5,157,14116.693519578743,603.2404035750902,278.6,-1945.2960603193787
2014-03-17,1305.5,0.0,0.0,0.0,0.0,1821.9,0.0,0.0,11.3,0.0,263.4,3402.2,164,16035.004798999566,-288.5123927642007,2535.7,1918.3112794208228
2014-03-24,2823.9,0.0,0.0,0.0,0.0,2785.7,0.0,0.0,11.7,0.0,131.1,5752.4,171,13856.359235810814,13.159531507917304,2350.2,-2178.645563188751
2014-03-31,1797.1,0.0,0.0,0.0,0.0,21.1,0.0,65.5,0.5,0.0,475.3,2359.3999999999996,178,11633.431057232241,-1320.7397088524972,-3393.0,-2222.9281785785734
2014-04-07,12.7,0.0,0.0,0.0,0.0,1511.8,0.0,0.0,0.1,0.0,72.6,1597.2,185,12697.065023195397,1589.848883247208,-762.1999999999996,1063.6339659631558
2014-04-14,395.4,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,140.2,732.8,192,12706.563466492882,-943.6027329660761,-864.4000000000001,9.49844329748521
2014-04-21,416.9,0.0,0.0,0.0,0.0,40.3,0.0,0.0,14.6,0.0,389.0,860.8,199,11666.303923434858,220.0293893984894,128.0,-1040.259543058024
