,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,halloween,halloween_lower,halloween_upper,holidays,holidays_lower,holidays_upper,newrelease,newrelease_lower,newrelease_upper,valentine,valentine_lower,valentine_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2013-10-07,20611.38325048585,14624.719224567936,23754.2839543175,20611.38325048585,20611.38325048585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1459.9695744975256,-1459.9695744975256,-1459.9695744975256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1424.909210640992,-1424.909210640992,-1424.909210640992,-35.06036385653373,-35.06036385653373,-35.06036385653373,0.0,0.0,0.0,19151.413675988326
1,2013-10-08,20595.205041633762,13465.384701404928,23140.268415223753,20595.205041633762,20595.205041633762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2271.6021907082877,-2271.6021907082877,-2271.6021907082877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2260.793314460859,-2260.793314460859,-2260.793314460859,-10.808876247427937,-10.808876247427937,-10.808876247427937,0.0,0.0,0.0,18323.602850925476
2,2013-10-09,20579.026832781674,13764.754103035011,22899.274133379764,20579.026832781674,20579.026832781674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2328.2727618138565,-2328.2727618138565,-2328.2727618138565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2321.670018442112,-2321.670018442112,-2321.670018442112,-6.60274337174499,-6.60274337174499,-6.60274337174499,0.0,0.0,0.0,18250.754070967818
3,2013-10-10,20562.848623929585,12996.372719307885,22608.436507479648,20562.848623929585,20562.848623929585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2663.7445731389544,-2663.7445731389544,-2663.7445731389544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2640.7663598809354,-2640.7663598809354,-2640.7663598809354,-22.978213258018844,-22.978213258018844,-22.978213258018844,0.0,0.0,0.0,17899.10405079063
4,2013-10-11,20546.6704150775,14676.924896155748,23738.445868163457,20546.670415077497,20546.670415077497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1378.7817389401605,-1378.7817389401605,-1378.7817389401605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1318.745353355756,-1318.745353355756,-1318.745353355756,-60.03638558440447,-60.03638558440447,-60.03638558440447,0.0,0.0,0.0,19167.88867613734
5,2013-10-12,20530.49220622541,20291.4316741363,30035.722025752446,20530.49220622541,20530.49220622541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4588.038992573925,4588.038992573925,4588.038992573925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4705.467808181247,4705.467808181247,4705.467808181247,-117.42881560732282,-117.42881560732282,-117.42881560732282,0.0,0.0,0.0,25118.531198799337
6,2013-10-13,20514.313997373327,20999.64279587224,30253.573681274593,20514.313997373327,20514.313997373327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5067.0628876775545,5067.0628876775545,5067.0628876775545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5261.416448602594,5261.416448602594,5261.416448602594,-194.35356092503957,-194.35356092503957,-194.35356092503957,0.0,0.0,0.0,25581.376885050882
7,2013-10-14,20498.13578852124,15816.674571345387,24819.99950401975,20498.13578852124,20498.13578852124,0.0,0.0,0.0,0.0,0.0,0.0,1679.627699992096,1679.627699992096,1679.627699992096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.84348927737849,-34.84348927737849,-34.84348927737849,0.0,0.0,0.0,1679.627699992096,1679.627699992096,1679.627699992096,0.0,0.0,0.0,0.0,0.0,0.0,-1424.909210645176,-1424.909210645176,-1424.909210645176,-289.5619786242985,-289.5619786242985,-289.5619786242985,0.0,0.0,0.0,20463.292299243858
8,2013-10-15,20481.957579669153,13320.705735201182,22555.898575161707,20481.957579669153,20481.957579669153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2662.1696259719097,-2662.1696259719097,-2662.1696259719097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2260.7933144619815,-2260.7933144619815,-2260.7933144619815,-401.3763115099287,-401.3763115099287,-401.3763115099287,0.0,0.0,0.0,17819.787953697243
9,2013-10-16,20465.779370817065,13089.197811636805,21848.53055389797,20465.779370817065,20465.779370817065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2849.3878466820956,-2849.3878466820956,-2849.3878466820956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2321.670018441813,-2321.670018441813,-2321.670018441813,-527.7178282402825,-527.7178282402825,-527.7178282402825,0.0,0.0,0.0,17616.391524134968
