FIXED TIME,CABLE TV_diff,CABLE TV_diff_lag1,CABLE TV_diff_lag1_lag1,CABLE TV_diff_lag1_lag2,CABLE TV_diff_lag2,CABLE TV_diff_lag2_lag1,CABLE TV_diff_lag2_lag2,MAGAZINES_diff,MAGAZINES_diff_lag1,MAGAZINES_diff_lag1_lag1,MAGAZINES_diff_lag1_lag2,MAGAZINES_diff_lag2,MAGAZINES_diff_lag2_lag1,MAGAZINES_diff_lag2_lag2,NAT SPOT RADIO_diff,NAT SPOT RADIO_diff_lag1,NAT SPOT RADIO_diff_lag1_lag1,NAT SPOT RADIO_diff_lag1_lag2,NAT SPOT RADIO_diff_lag2,NAT SPOT RADIO_diff_lag2_lag1,NAT SPOT RADIO_diff_lag2_lag2,NATL NEWSP_diff,NATL NEWSP_diff_lag1,NATL NEWSP_diff_lag1_lag1,NATL NEWSP_diff_lag1_lag2,NATL NEWSP_diff_lag2,NATL NEWSP_diff_lag2_lag1,NATL NEWSP_diff_lag2_lag2,NETWORK RADIO_diff,NETWORK RADIO_diff_lag1,NETWORK RADIO_diff_lag1_lag1,NETWORK RADIO_diff_lag1_lag2,NETWORK RADIO_diff_lag2,NETWORK RADIO_diff_lag2_lag1,NETWORK RADIO_diff_lag2_lag2,NETWORK TV_diff,NETWORK TV_diff_lag1,NETWORK TV_diff_lag1_lag1,NETWORK TV_diff_lag1_lag2,NETWORK TV_diff_lag2,NETWORK TV_diff_lag2_lag1,NETWORK TV_diff_lag2_lag2,NEWSPAPER_diff,NEWSPAPER_diff_lag1,NEWSPAPER_diff_lag1_lag1,NEWSPAPER_diff_lag1_lag2,NEWSPAPER_diff_lag2,NEWSPAPER_diff_lag2_lag1,NEWSPAPER_diff_lag2_lag2,OUTDOOR_diff,OUTDOOR_diff_lag1,OUTDOOR_diff_lag1_lag1,OUTDOOR_diff_lag1_lag2,OUTDOOR_diff_lag2,OUTDOOR_diff_lag2_lag1,OUTDOOR_diff_lag2_lag2,SPOT TV_diff,SPOT TV_diff_lag1,SPOT TV_diff_lag1_lag1,SPOT TV_diff_lag1_lag2,SPOT TV_diff_lag2,SPOT TV_diff_lag2_lag1,SPOT TV_diff_lag2_lag2,SUNDAY MAGS_diff,SUNDAY MAGS_diff_lag1,SUNDAY MAGS_diff_lag1_lag1,SUNDAY MAGS_diff_lag1_lag2,SUNDAY MAGS_diff_lag2,SUNDAY MAGS_diff_lag2_lag1,SUNDAY MAGS_diff_lag2_lag2,SYNDICATION_diff,SYNDICATION_diff_lag1,SYNDICATION_diff_lag1_lag1,SYNDICATION_diff_lag1_lag2,SYNDICATION_diff_lag2,SYNDICATION_diff_lag2_lag1,SYNDICATION_diff_lag2_lag2,TOTAL_diff,TOTAL_diff_lag1,TOTAL_diff_lag1_lag1,TOTAL_diff_lag1_lag2,TOTAL_diff_lag2,TOTAL_diff_lag2_lag1,TOTAL_diff_lag2_lag2,TOTALdif_diff,TOTALdif_diff_lag1,TOTALdif_diff_lag1_lag1,TOTALdif_diff_lag1_lag2,TOTALdif_diff_lag2,TOTALdif_diff_lag2_lag1,TOTALdif_diff_lag2_lag2,value_diff
2013-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-14,-33.3,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,-105.7,,,,,,,0.0,,,,,,,0.0,,,,,,,-10.100000000000001,,,,,,,0.0,,,,,,,150.3,,,,,,,1.2000000000000455,,,,,,,,,,,,,,-5703.474537341783
2013-10-21,-7.200000000000001,-33.3,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,28.60000000000001,-105.7,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.6000000000000014,-10.100000000000001,,,,,,0.0,0.0,,,,,,-134.39999999999998,150.3,,,,,,-112.40000000000003,1.2000000000000455,,,,,,-113.60000000000008,,,,,,,733.6991375166654
2013-10-28,-10.399999999999999,-7.200000000000001,-33.3,,-33.3,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,,-101.10000000000001,28.60000000000001,-105.7,,-105.7,,,0.0,0.0,0.0,,0.0,,,233.0,0.0,0.0,,0.0,,,11.2,0.6000000000000014,-10.100000000000001,,-10.100000000000001,,,0.0,0.0,0.0,,0.0,,,47.0,-134.39999999999998,150.3,,150.3,,,179.79999999999978,-112.40000000000003,1.2000000000000455,,1.2000000000000455,,,292.19999999999993,-113.60000000000008,,,,,,-544.0561194845286
2013-11-04,9.3,-10.399999999999999,-7.200000000000001,-33.3,-7.200000000000001,-33.3,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,131.2,-101.10000000000001,28.60000000000001,-105.7,28.60000000000001,-105.7,,0.0,0.0,0.0,0.0,0.0,0.0,,-233.0,233.0,0.0,0.0,0.0,0.0,,-6.4,11.2,0.6000000000000014,-10.100000000000001,0.6000000000000014,-10.100000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,,-110.80000000000001,47.0,-134.39999999999998,150.3,-134.39999999999998,150.3,,-209.79999999999978,179.79999999999978,-112.40000000000003,1.2000000000000455,-112.40000000000003,1.2000000000000455,,-389.59999999999985,292.19999999999993,-113.60000000000008,,-113.60000000000008,,,-551.676909616217
2013-11-11,18.9,9.3,-10.399999999999999,-7.200000000000001,-10.399999999999999,-7.200000000000001,-33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,131.2,-101.10000000000001,28.60000000000001,-101.10000000000001,28.60000000000001,-105.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-233.0,233.0,0.0,233.0,0.0,0.0,-1.4000000000000004,-6.4,11.2,0.6000000000000014,11.2,0.6000000000000014,-10.100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.39999999999998,-110.80000000000001,47.0,-134.39999999999998,47.0,-134.39999999999998,150.3,278.40000000000003,-209.79999999999978,179.79999999999978,-112.40000000000003,179.79999999999978,-112.40000000000003,1.2000000000000455,488.19999999999993,-389.59999999999985,292.19999999999993,-113.60000000000008,292.19999999999993,-113.60000000000008,,3988.360527663259
2013-11-18,-30.9,18.9,9.3,-10.399999999999999,9.3,-10.399999999999999,-7.200000000000001,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-194.4,18.5,131.2,-101.10000000000001,131.2,-101.10000000000001,28.60000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-233.0,233.0,-233.0,233.0,0.0,-13.2,-1.4000000000000004,-6.4,11.2,-6.4,11.2,0.6000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-457.7,242.39999999999998,-110.80000000000001,47.0,-110.80000000000001,47.0,-134.39999999999998,-293.20000000000005,278.40000000000003,-209.79999999999978,179.79999999999978,-209.79999999999978,179.79999999999978,-112.40000000000003,-571.6000000000001,488.19999999999993,-389.59999999999985,292.19999999999993,-389.59999999999985,292.19999999999993,-113.60000000000008,-1018.409018061273
2013-11-25,357.7,-30.9,18.9,9.3,18.9,9.3,-10.399999999999999,-15.600000000000023,403.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1704.0,-194.4,18.5,131.2,18.5,131.2,-101.10000000000001,207.4,0.0,0.0,0.0,0.0,0.0,0.0,903.2,0.0,0.0,-233.0,0.0,-233.0,233.0,15.2,-13.2,-1.4000000000000004,-6.4,-1.4000000000000004,-6.4,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.2,-457.7,242.39999999999998,-110.80000000000001,242.39999999999998,-110.80000000000001,47.0,3479.1,-293.20000000000005,278.40000000000003,-209.79999999999978,278.40000000000003,-209.79999999999978,179.79999999999978,3772.3,-571.6000000000001,488.19999999999993,-389.59999999999985,488.19999999999993,-389.59999999999985,292.19999999999993,10607.373418878982
2013-12-02,-20.099999999999966,357.7,-30.9,18.9,-30.9,18.9,9.3,-387.4,-15.600000000000023,403.0,0.0,403.0,0.0,0.0,149.9,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,5.0,0.0,0.0,0.0,0.0,0.0,-715.7,1704.0,-194.4,18.5,-194.4,18.5,131.2,-207.4,207.4,0.0,0.0,0.0,0.0,0.0,-903.2,903.2,0.0,0.0,0.0,0.0,-233.0,0.40000000000000213,15.2,-13.2,-1.4000000000000004,-13.2,-1.4000000000000004,-6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.39999999999998,277.2,-457.7,242.39999999999998,-457.7,242.39999999999998,-110.80000000000001,-2091.0,3479.1,-293.20000000000005,278.40000000000003,-293.20000000000005,278.40000000000003,-209.79999999999978,-5570.1,3772.3,-571.6000000000001,488.19999999999993,-571.6000000000001,488.19999999999993,-389.59999999999985,-7851.002231847313
2013-12-09,0.5999999999999659,-20.099999999999966,357.7,-30.9,357.7,-30.9,18.9,378.8,-387.4,-15.600000000000023,403.0,-15.600000000000023,403.0,0.0,0.0,149.9,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,5.0,0.0,5.0,0.0,0.0,-790.8,-715.7,1704.0,-194.4,1704.0,-194.4,18.5,44.7,-207.4,207.4,0.0,207.4,0.0,0.0,0.0,-903.2,903.2,0.0,903.2,0.0,0.0,10.299999999999997,0.40000000000000213,15.2,-13.2,15.2,-13.2,-1.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.400000000000006,-37.39999999999998,277.2,-457.7,277.2,-457.7,242.39999999999998,-404.6999999999998,-2091.0,3479.1,-293.20000000000005,3479.1,-293.20000000000005,278.40000000000003,1686.3,-5570.1,3772.3,-571.6000000000001,3772.3,-571.6000000000001,488.19999999999993,-3552.17725126967
