,date,value,period,onedifvalue
0,Oct 07 2013,19308.224939790263,2013-10-07,
1,Oct 08 2013,16026.411518246607,2013-10-08,-3281.8134215436567
2,Oct 09 2013,17788.74339337127,2013-10-09,1762.3318751246643
3,Oct 10 2013,21834.851481120233,2013-10-10,4046.108087748962
4,Oct 11 2013,25750.490085255646,2013-10-11,3915.6386041354126
5,Oct 12 2013,38070.77160440338,2013-10-12,12320.281519147735
6,Oct 13 2013,25419.649996518398,2013-10-13,-12651.121607884983
7,Oct 14 2013,21791.9417993885,2013-10-14,-3627.7081971298976
8,Oct 15 2013,13990.938392243286,2013-10-15,-7801.003407145214
9,Oct 16 2013,12629.143183232105,2013-10-16,-1361.7952090111812
10,Oct 17 2013,13220.898332300132,2013-10-17,591.7551490680271
11,Oct 18 2013,14497.120172625266,2013-10-18,1276.2218403251336
12,Oct 19 2013,20758.78426558182,2013-10-19,6261.664092956555
13,Oct 20 2013,27385.9951119422,2013-10-20,6627.21084636038
14,Oct 21 2013,16422.86383085581,2013-10-21,-10963.13128108639
15,Oct 22 2013,12631.31283485319,2013-10-22,-3791.550996002621
16,Oct 23 2013,17302.963129727264,2013-10-23,4671.6502948740745
17,Oct 24 2013,15019.41275745863,2013-10-24,-2283.5503722686353
18,Oct 25 2013,18529.518262947346,2013-10-25,3510.1055054887165
19,Oct 26 2013,23503.104532789268,2013-10-26,4973.586269841922
20,Oct 27 2013,26001.53987129848,2013-10-27,2498.435338509211
21,Oct 28 2013,11795.087239295124,2013-10-28,-14206.452632003355
22,Oct 29 2013,16222.378103269495,2013-10-29,4427.290863974371
23,Oct 30 2013,12044.968055253848,2013-10-30,-4177.410048015647
24,Oct 31 2013,13222.750267149293,2013-10-31,1177.7822118954446
25,Nov 01 2013,18475.198433294838,2013-11-01,5252.448166145545
26,Nov 02 2013,23421.99542722548,2013-11-02,4946.796993930642
27,Nov 03 2013,30419.944858050203,2013-11-03,6997.949430824723
28,Nov 04 2013,14121.884315520116,2013-11-04,-16298.060542530087
29,Nov 05 2013,13158.898032542442,2013-11-05,-962.9862829776739
30,Nov 06 2013,13940.74897445316,2013-11-06,781.8509419107177
31,Nov 07 2013,9732.217464122396,2013-11-07,-4208.531510330764
32,Nov 08 2013,14877.617785417464,2013-11-08,5145.400321295068
33,Nov 09 2013,23228.71113686017,2013-11-09,8351.093351442705
34,Nov 10 2013,32680.50630730903,2013-11-10,9451.795170448862
35,Nov 11 2013,22189.986105405715,2013-11-11,-10490.520201903317
36,Nov 12 2013,20568.534983937276,2013-11-12,-1621.451121468439
37,Nov 13 2013,17688.664371662984,2013-11-13,-2879.8706122742915
38,Nov 14 2013,16764.9857210125,2013-11-14,-923.6786506504832
39,Nov 15 2013,14410.275608452293,2013-11-15,-2354.7101125602076
40,Nov 16 2013,32163.734030720763,2013-11-16,17753.45842226847
41,Nov 17 2013,25872.92688867603,2013-11-17,-6290.807142044734
42,Nov 18 2013,17441.6326929766,2013-11-18,-8431.29419569943
43,Nov 19 2013,18010.297812403904,2013-11-19,568.6651194273036
44,Nov 20 2013,18378.936678081835,2013-11-20,368.6388656779309
45,Nov 21 2013,12077.093984975336,2013-11-21,-6301.842693106499
46,Nov 22 2013,14157.099613532022,2013-11-22,2080.005628556686
47,Nov 23 2013,34560.9492089759,2013-11-23,20403.849595443877
48,Nov 24 2013,27904.234592493092,2013-11-24,-6656.714616482808
49,Nov 25 2013,17504.639542005152,2013-11-25,-10399.59505048794
50,Nov 26 2013,21544.212367201584,2013-11-26,4039.572825196432
51,Nov 27 2013,23443.365407416994,2013-11-27,1899.1530402154094
52,Nov 28 2013,42691.004732038644,2013-11-28,19247.63932462165
53,Nov 29 2013,23448.946781554143,2013-11-29,-19242.0579504845
54,Nov 30 2013,50410.10521365617,2013-11-30,26961.158432102027
55,Dec 01 2013,37739.58447171885,2013-12-01,-12670.520741937318
56,Dec 02 2013,14879.92807719244,2013-12-02,-22859.656394526413
57,Dec 03 2013,14743.780530068278,2013-12-03,-136.14754712416288
58,Dec 04 2013,16942.13538185007,2013-12-04,2198.354851781791
59,Dec 05 2013,20432.59553558558,2013-12-05,3490.460153735512
60,Dec 06 2013,19565.14669402062,2013-12-06,-867.4488415649612
61,Dec 07 2013,43138.4962090896,2013-12-07,23573.34951506898
62,Dec 08 2013,32122.76046485374,2013-12-08,-11015.735744235859
63,Dec 09 2013,21041.85053507218,2013-12-09,-11080.909929781563
64,Dec 10 2013,19887.932531190236,2013-12-10,-1153.9180038819432
65,Dec 11 2013,13117.780794103055,2013-12-11,-6770.151737087181
